buildYear,salesPeriodTotal,numberOfRooms,paymentCash,residentialArea,areaWeighted,postal,dateRemoved,city,lat,lon,price_area,price_area_log,sale_year,geometry
1971,,1,325000.0,33.0,33.0,2620,29-06-2013,Albertslund,55.67111207053325,12.341642614413562,9848.484848484848,9.195072899845394,2013,POINT (710134.0005951581 6174539.003206193)
1969,,4,2495000.0,105.0,116.0,2620,10-01-2013,Albertslund,55.6769301160279,12.368886258917506,21508.620689655174,9.97620909606139,2013,POINT (711815.0006393114 6175269.003205886)
1969,,4,2495000.0,105.0,116.0,2620,08-05-2013,Albertslund,55.6769301160279,12.368886258917506,21508.620689655174,9.97620909606139,2013,POINT (711815.0006393114 6175269.003205886)
2014,667.0,3,2395000.0,119.0,119.0,2620,13-04-2013,Albertslund,55.67085490778509,12.356654630215962,20126.050420168067,9.909770295715623,2013,POINT (711079.0006191954 6174556.003206672)
2014,,4,1899500.0,119.0,119.0,2620,04-11-2013,Albertslund,55.67085490778509,12.356654630215962,15962.18487394958,9.677977758498288,2013,POINT (711079.0006191954 6174556.003206672)
2014,,3,2395000.0,119.0,119.0,2620,10-01-2013,Albertslund,55.67085490778509,12.356654630215962,20126.050420168067,9.909770295715623,2013,POINT (711079.0006191954 6174556.003206672)
2014,575.0,3,2395000.0,119.0,119.0,2620,02-06-2012,Albertslund,55.67085490778509,12.356654630215962,20126.050420168067,9.909770295715623,2012,POINT (711079.0006191954 6174556.003206672)
2014,535.0,3,2395000.0,129.0,131.0,2620,13-04-2013,Albertslund,55.67087126341648,12.356385578954635,18282.442748091602,9.813696465626,2013,POINT (711062.0006187588 6174557.003206662)
2014,546.0,4,1999500.0,129.0,131.0,2620,25-04-2013,Albertslund,55.67087126341648,12.356385578954635,15263.358778625954,9.633210384067858,2013,POINT (711062.0006187588 6174557.003206662)
2014,443.0,3,2395000.0,129.0,131.0,2620,10-01-2013,Albertslund,55.67087126341648,12.356385578954635,18282.442748091602,9.813696465626,2013,POINT (711062.0006187588 6174557.003206662)
2014,535.0,3,2295000.0,119.0,119.0,2620,13-04-2013,Albertslund,55.67086865679162,12.35648080956324,19285.714285714286,9.867119908365254,2013,POINT (711068.0006189136 6174557.003206665)
2014,545.0,4,1899500.0,119.0,119.0,2620,24-04-2013,Albertslund,55.67086865679162,12.35648080956324,15962.18487394958,9.677977758498288,2013,POINT (711068.0006189136 6174557.003206665)
2014,443.0,3,2295000.0,119.0,119.0,2620,10-01-2013,Albertslund,55.67086865679162,12.35648080956324,19285.714285714286,9.867119908365254,2013,POINT (711068.0006189136 6174557.003206665)
1939,,6,1850000.0,132.0,161.0,2620,11-09-2013,Albertslund,55.660868109673395,12.336808584302275,11490.683229813665,9.349291832070044,2013,POINT (709885.0005875104 6173385.003207997)
1939,143.0,6,2095000.0,132.0,161.0,2620,10-01-2013,Albertslund,55.660868109673395,12.336808584302275,13012.422360248447,9.473659746353912,2013,POINT (709885.0005875104 6173385.003207997)
1971,,4,1145000.0,97.0,97.0,2620,24-01-2013,Albertslund,55.670675561238696,12.341494010312461,11804.123711340206,9.376204216467094,2013,POINT (710127.0005949214 6174490.003206271)
1877,,4,1595000.0,103.0,117.0,2620,13-07-2013,Albertslund,55.65882254353448,12.333342266056832,13632.478632478633,9.520210359403325,2013,POINT (709678.0005820937 6173147.003208289)
1877,,4,1595000.0,103.0,117.0,2620,13-07-2013,Albertslund,55.65882254353448,12.333342266056832,13632.478632478633,9.520210359403325,2013,POINT (709678.0005820937 6173147.003208289)
1877,,4,1795000.0,103.0,117.0,2620,28-12-2012,Albertslund,55.65882254353448,12.333342266056832,15341.880341880342,9.63834164510676,2012,POINT (709678.0005820937 6173147.003208289)
1877,,4,1795000.0,103.0,117.0,2620,28-12-2012,Albertslund,55.65882254353448,12.333342266056832,15341.880341880342,9.63834164510676,2012,POINT (709678.0005820937 6173147.003208289)
1765,409.0,3,1300000.0,86.0,100.0,2620,31-07-2013,Albertslund,55.676129084918486,12.337679285190651,13000.0,9.472704636443673,2013,POINT (709858.000588947 6175085.003205132)
1765,409.0,3,1300000.0,86.0,100.0,2620,31-07-2013,Albertslund,55.676129084918486,12.337679285190651,13000.0,9.472704636443673,2013,POINT (709858.000588947 6175085.003205132)
1765,528.0,3,1295000.0,86.0,100.0,2620,28-11-2013,Albertslund,55.676129084918486,12.337679285190651,12950.0,9.468851067127684,2013,POINT (709858.000588947 6175085.003205132)
1765,528.0,3,1295000.0,86.0,100.0,2620,28-11-2013,Albertslund,55.676129084918486,12.337679285190651,12950.0,9.468851067127684,2013,POINT (709858.000588947 6175085.003205132)
1765,,3,1595000.0,86.0,100.0,2620,14-12-2012,Albertslund,55.676129084918486,12.337679285190651,15950.0,9.67721410821299,2012,POINT (709858.000588947 6175085.003205132)
1765,,3,1595000.0,86.0,100.0,2620,14-12-2012,Albertslund,55.676129084918486,12.337679285190651,15950.0,9.67721410821299,2012,POINT (709858.000588947 6175085.003205132)
1971,,2,595000.0,49.0,49.0,2620,22-01-2013,Albertslund,55.6708985172451,12.341560758568118,12142.857142857143,9.40449638641714,2013,POINT (710130.0005950277 6174515.003206233)
1971,,2,595000.0,49.0,49.0,2620,12-03-2013,Albertslund,55.6708985172451,12.341560758568118,12142.857142857143,9.40449638641714,2013,POINT (710130.0005950277 6174515.003206233)
1972,,4,2095000.0,108.0,131.0,2620,28-02-2013,Albertslund,55.67496133549747,12.351485613568347,15992.36641221374,9.679866788137224,2013,POINT (710732.0006108622 6174997.003205744)
1972,,5,2095000.0,108.0,131.0,2620,10-01-2013,Albertslund,55.67496133549747,12.351485613568347,15992.36641221374,9.679866788137224,2013,POINT (710732.0006108622 6174997.003205744)
1972,,4,2065000.0,112.0,136.0,2620,04-12-2013,Albertslund,55.675592427244126,12.352080596221967,15183.823529411764,9.627985898641219,2013,POINT (710766.0006118226 6175069.003205643)
1968,,4,1945000.0,108.0,133.0,2620,22-04-2013,Albertslund,55.67319157717621,12.35734811276703,14624.060150375939,9.59042340681293,2013,POINT (711110.0006203332 6174818.00320625)
1968,,5,1995000.0,106.0,128.0,2620,05-09-2013,Albertslund,55.67240925360754,12.35866518531976,15585.9375,9.654124344386483,2013,POINT (711197.0006224734 6174735.003206438)
1968,,4,1899000.0,106.0,128.0,2620,10-10-2013,Albertslund,55.67240925360754,12.35866518531976,14835.9375,9.604807725874807,2013,POINT (711197.0006224734 6174735.003206438)
1971,,2,550000.0,49.0,49.0,2620,26-04-2013,Albertslund,55.67118578546106,12.340917088061113,11224.489795918367,9.325853259098027,2013,POINT (710088.0005940133 6174545.003206161)
1972,,4,1849000.0,108.0,133.0,2620,29-10-2013,Albertslund,55.67498304750175,12.352664859498036,13902.255639097744,9.539806382147509,2013,POINT (710806.0006127608 6175003.003205775)
1972,,2,645000.0,49.0,49.0,2620,06-12-2013,Albertslund,55.67223215319438,12.34145181244284,13163.265306122448,9.485185297667282,2013,POINT (710116.0005948622 6174663.003205975)
1972,,2,545000.0,49.0,49.0,2620,20-04-2013,Albertslund,55.67234925324085,12.343752773818665,11122.448979591836,9.316720775534755,2013,POINT (710260.0005985027 6174683.00320602)
2014,480.0,4,1899500.0,119.0,119.0,2620,24-04-2013,Albertslund,55.670866484547865,12.356560168391805,15962.18487394958,9.677977758498288,2013,POINT (711073.0006190422 6174557.003206667)
2014,,4,1949500.0,119.0,119.0,2620,23-10-2013,Albertslund,55.670866484547865,12.356560168391805,16382.35294117647,9.70395999429326,2013,POINT (711073.0006190422 6174557.003206667)
2014,473.0,3,2295000.0,119.0,119.0,2620,16-04-2013,Albertslund,55.670866484547865,12.356560168391805,19285.714285714286,9.867119908365254,2013,POINT (711073.0006190422 6174557.003206667)
2014,,4,1949500.0,119.0,119.0,2620,08-08-2013,Albertslund,55.67132963652463,12.354420303742433,16382.35294117647,9.70395999429326,2013,POINT (710936.0006155774 6174602.003206518)
2014,,4,1949500.0,119.0,119.0,2620,08-08-2013,Albertslund,55.67131849557932,12.354498895395446,16382.35294117647,9.70395999429326,2013,POINT (710941.0006157043 6174601.003206522)
2014,,5,2099500.0,138.0,138.0,2620,08-05-2013,Albertslund,55.67133484653201,12.354229839868605,15213.768115942028,9.62995609394918,2013,POINT (710924.0006152694 6174602.003206511)
2014,,4,2049500.0,129.0,129.0,2620,08-08-2013,Albertslund,55.671332241565196,12.354325071813323,15887.596899224805,9.673294014564856,2013,POINT (710930.0006154233 6174602.003206513)
1972,123.0,4,1450000.0,100.0,100.0,2620,18-08-2013,Albertslund,55.671151702403385,12.343157353605912,14500.0,9.581903928408666,2013,POINT (710229.0005975534 6174548.003206231)
1972,,4,2295000.0,112.0,136.0,2620,08-05-2013,Albertslund,55.670965794451064,12.361468667521985,16875.0,9.733588515740731,2013,POINT (711381.0006270474 6174583.003206792)
1966,,6,5295000.0,173.0,213.0,2620,29-11-2013,Albertslund,55.680359577989705,12.322604594019484,24859.154929577464,10.120981371308218,2013,POINT (708888.000565668 6175510.003203925)
1972,,2,549000.0,49.0,49.0,2620,03-08-2013,Albertslund,55.67249713688031,12.342285808846333,11204.081632653062,9.32403342238104,2013,POINT (710167.0005961809 6174695.003205949)
2014,,4,1999500.0,129.0,129.0,2620,29-05-2013,Albertslund,55.671311114058476,12.35476871901143,15500.0,9.648595302907339,2013,POINT (710958.0006161407 6174601.003206531)
2014,,4,1949500.0,119.0,119.0,2620,29-09-2013,Albertslund,55.671313719368776,12.354673487161277,16382.35294117647,9.70395999429326,2013,POINT (710952.0006159866 6174601.003206529)
2014,,4,1949500.0,119.0,119.0,2620,29-09-2013,Albertslund,55.6713158904043,12.35459412727422,16382.35294117647,9.70395999429326,2013,POINT (710947.0006158582 6174601.003206523)
2014,,4,2099500.0,129.0,129.0,2620,18-12-2013,Albertslund,55.67130850867439,12.354863950845976,16275.193798449613,9.697397374744712,2013,POINT (710964.0006162948 6174601.003206535)
1972,,5,1894000.0,108.0,131.0,2620,18-07-2013,Albertslund,55.675178767872794,12.350438204289894,14458.015267175573,9.579004229527008,2013,POINT (710665.0006091802 6175018.003205676)
1972,,2,649000.0,49.0,49.0,2620,24-06-2013,Albertslund,55.670510180297754,12.342943507633825,13244.897959183674,9.491367697575601,2013,POINT (710219.000597212 6174476.003206344)
1973,,4,1995000.0,177.0,155.0,2620,30-08-2013,Albertslund,55.66131585226142,12.356966614512613,12870.967741935483,9.462729491386854,2013,POINT (711150.0006196564 6173496.003208486)
1973,,4,2295000.0,177.0,155.0,2620,06-07-2012,Albertslund,55.66131585226142,12.356966614512613,14806.451612903225,9.602818284557536,2012,POINT (711150.0006196564 6173496.003208486)
1973,445.0,4,2195000.0,177.0,155.0,2620,20-02-2013,Albertslund,55.66131585226142,12.356966614512613,14161.290322580646,9.558267487572163,2013,POINT (711150.0006196564 6173496.003208486)
2014,,4,1899500.0,119.0,119.0,2620,03-06-2013,Albertslund,55.671302713450835,12.355404366095707,15962.18487394958,9.677977758498288,2013,POINT (710998.0006171697 6174602.003206551)
2014,,4,1949500.0,119.0,119.0,2620,29-09-2013,Albertslund,55.671304884958566,12.355325006290311,16382.35294117647,9.70395999429326,2013,POINT (710993.0006170411 6174602.003206549)
2014,,4,1999500.0,129.0,129.0,2620,03-06-2013,Albertslund,55.67132384325163,12.354960719427181,15500.0,9.648595302907339,2013,POINT (710970.0006164515 6174603.003206536)
1968,,4,1885000.0,108.0,131.0,2620,15-06-2013,Albertslund,55.67242735255251,12.358332634955485,14389.312977099236,9.574241055663096,2013,POINT (711176.0006219317 6174736.003206423)
1972,,4,1945000.0,108.0,133.0,2620,21-12-2013,Albertslund,55.675215400404795,12.352716573819986,14624.060150375939,9.59042340681293,2013,POINT (710808.0006128453 6175029.003205734)
1969,,4,2395000.0,105.0,109.0,2620,11-06-2013,Albertslund,55.67595987252902,12.369184653421804,21972.477064220184,9.99754590659801,2013,POINT (711839.0006398025 6175162.003206078)
2014,,4,1949500.0,119.0,119.0,2620,29-09-2013,Albertslund,55.67096836721034,12.355137086689426,16382.35294117647,9.70395999429326,2013,POINT (710983.0006167353 6174564.003206607)
2014,,4,1999500.0,129.0,129.0,2620,30-05-2013,Albertslund,55.670901366708364,12.35594270642858,15500.0,9.648595302907339,2013,POINT (711034.0006180403 6174559.003206642)
2014,,4,1999500.0,129.0,129.0,2620,19-06-2013,Albertslund,55.670979942813204,12.355042624097823,15500.0,9.648595302907339,2013,POINT (710977.0006165823 6174565.003206604)
2014,,5,2149500.0,138.0,138.0,2620,31-07-2013,Albertslund,55.67128896594154,12.355578189107373,15576.08695652174,9.653492129761268,2013,POINT (711009.0006174515 6174601.003206559)
2014,,4,1999500.0,129.0,129.0,2620,07-07-2013,Albertslund,55.67095462009698,12.355310908330901,15500.0,9.648595302907339,2013,POINT (710994.0006170168 6174563.003206613)
1972,,4,2198000.0,108.0,131.0,2620,10-07-2013,Albertslund,55.67096318388028,12.36156389786399,16778.625954198473,9.727861090744552,2013,POINT (711387.0006272034 6174583.003206798)
2014,,4,2049500.0,129.0,129.0,2620,08-08-2013,Albertslund,55.67131270196208,12.355039310901105,15887.596899224805,9.673294014564856,2013,POINT (710975.0006165789 6174602.00320654)
2014,,4,2049500.0,129.0,129.0,2620,08-08-2013,Albertslund,55.67129157187909,12.355482957389931,15887.596899224805,9.673294014564856,2013,POINT (711003.000617297 6174601.003206556)
1968,,4,1893000.0,106.0,128.0,2620,26-07-2013,Albertslund,55.67319374998869,12.357268749296427,14789.0625,9.601643166271844,2013,POINT (711105.0006202041 6174818.003206247)
2014,,4,2099500.0,129.0,129.0,2620,30-08-2013,Albertslund,55.67087343554748,12.356306220102208,16275.193798449613,9.697397374744712,2013,POINT (711057.0006186301 6174557.003206659)
1972,,2,498000.0,49.0,49.0,2620,24-07-2013,Albertslund,55.67060184302628,12.3422195260307,10163.265306122448,9.226535057896163,2013,POINT (710173.0005960671 6174484.003206303)
2014,,4,1999500.0,119.0,119.0,2620,23-10-2013,Albertslund,55.67087604203704,12.35621098946497,16802.52100840336,9.729284214157481,2013,POINT (711051.0006184755 6174557.003206655)
2014,,4,2049500.0,129.0,129.0,2620,11-10-2013,Albertslund,55.67131009636804,12.35513454271312,15887.596899224805,9.673294014564856,2013,POINT (710981.0006167329 6174602.003206543)
1968,,5,1920000.0,106.0,128.0,2620,17-09-2012,Albertslund,55.6722104923121,12.358043576698543,15000.0,9.615805480084347,2012,POINT (711159.0006214601 6174711.003206457)
1971,,2,695000.0,49.0,49.0,2620,20-09-2013,Albertslund,55.670675561238696,12.341494010312461,14183.673469387755,9.559846826436303,2013,POINT (710127.0005949214 6174490.003206271)
1968,,4,1695000.0,106.0,128.0,2620,27-09-2013,Albertslund,55.672746708898494,12.356848592348149,13242.1875,9.49116303487707,2013,POINT (711081.0006195194 6174767.00320632)
1968,,4,2095000.0,108.0,131.0,2620,08-10-2013,Albertslund,55.67272600663646,12.357276381306713,15992.36641221374,9.679866788137224,2013,POINT (711108.0006202145 6174766.003206338)
2014,178.0,4,1999500.0,119.0,119.0,2620,23-10-2013,Albertslund,55.67088761846038,12.35611652744533,16802.52100840336,9.729284214157481,2013,POINT (711045.0006183221 6174558.003206652)
2014,,4,1899500.0,119.0,119.0,2620,23-10-2013,Albertslund,55.67090353855385,12.35586334747923,15962.18487394958,9.677977758498288,2013,POINT (711029.0006179117 6174559.00320664)
2014,,4,1999500.0,119.0,119.0,2620,23-10-2013,Albertslund,55.67096576155099,12.355232317655618,16802.52100840336,9.729284214157481,2013,POINT (710989.0006168894 6174564.003206609)
2014,,5,2199500.0,138.0,138.0,2620,09-10-2013,Albertslund,55.67104216161872,12.354411591575902,15938.40579710145,9.676486934613706,2013,POINT (710937.0006155618 6174570.003206572)
1972,,3,1210000.0,97.0,97.0,2620,10-10-2013,Albertslund,55.670510180297754,12.342943507633825,12474.226804123711,9.43141993906954,2013,POINT (710219.000597212 6174476.003206344)
1972,,5,1945000.0,108.0,131.0,2620,08-12-2013,Albertslund,55.67626386698425,12.351199314790401,14847.32824427481,9.605575211833532,2013,POINT (710707.000610408 6175141.003205489)
1972,,5,2095000.0,120.0,146.0,2600,08-11-2013,Glostrup,55.67313176206419,12.371980154526955,14349.315068493152,9.571457489630038,2013,POINT (712030.0006444462 6174856.003206699)
2014,,1,2495000.0,138.0,138.0,2620,16-05-2012,Albertslund,55.67117248665987,12.356220483412828,18079.710144927536,9.802545602010552,2012,POINT (711050.0006184924 6174590.0032066)
1985,341.0,7,4675000.0,230.0,229.0,2620,02-07-2012,Albertslund,55.68674606720149,12.370606396826155,20414.847161572052,9.924017717150685,2012,POINT (711870.0006422197 6176366.003204079)
2014,,3,1995000.0,119.0,119.0,2620,13-06-2012,Albertslund,55.67118623507032,12.356046661178226,16764.70588235294,9.727031115194572,2012,POINT (711039.0006182103 6174591.003206589)
2014,364.0,3,2195000.0,119.0,119.0,2620,16-05-2012,Albertslund,55.67118623507032,12.356046661178226,18445.378151260506,9.82256911137988,2012,POINT (711039.0006182103 6174591.003206589)
1900,,5,3295000.0,180.0,180.0,2620,04-01-2012,Albertslund,55.68531327788832,12.367777481498644,18305.555555555555,9.814959875028535,2012,POINT (711700.0006375117 6176198.003204265)
1972,,4,1995000.0,112.0,136.0,2620,12-03-2012,Albertslund,55.6759719209453,12.352669968418331,14669.117647058823,9.59349972257005,2012,POINT (710801.000612774 6175113.003205587)
1968,,4,1895000.0,106.0,128.0,2620,03-01-2012,Albertslund,55.672895095827826,12.358325015478306,14804.6875,9.602699132579046,2012,POINT (711173.0006219216 6174788.003206336)
1972,,4,1925000.0,108.0,131.0,2620,26-04-2012,Albertslund,55.67493125354438,12.352914995261944,14694.65648854962,9.59523920250287,2012,POINT (710822.000613164 6174998.003205791)
1880,,6,2795000.0,130.0,134.0,2620,30-03-2012,Albertslund,55.675453311946384,12.339053655360706,20858.20895522388,9.945502864620424,2012,POINT (709948.0005911007 6175014.003205299)
2013,,4,3495000.0,142.0,142.0,2620,10-07-2013,Albertslund,55.68565425066033,12.36682008237937,24612.676056338027,10.111016876048787,2013,POINT (711638.0006359279 6176233.003204172)
1972,,4,1350000.0,100.0,100.0,2620,14-05-2012,Albertslund,55.672010552687176,12.343644309766171,13500.0,9.51044496442652,2012,POINT (710255.0005983291 6174645.00320608)
1972,,5,2325000.0,108.0,131.0,2620,21-03-2012,Albertslund,55.67489840460657,12.351814350478875,17748.091603053435,9.784033273802443,2012,POINT (710753.0006113907 6174991.003205767)
1971,,2,545000.0,49.0,49.0,2620,29-05-2012,Albertslund,55.6708985172451,12.341560758568118,11122.448979591836,9.316720775534755,2012,POINT (710130.0005950277 6174515.003206233)
1972,,5,2075000.0,108.0,131.0,2620,07-02-2012,Albertslund,55.675853118753004,12.35076638830515,15839.69465648855,9.670274388445785,2012,POINT (710682.0006097105 6175094.003205555)
1972,,5,1969000.0,108.0,131.0,2620,24-11-2012,Albertslund,55.675853118753004,12.35076638830515,15030.534351145037,9.617839034420111,2012,POINT (710682.0006097105 6175094.003205555)
1972,,4,1248000.0,97.0,97.0,2620,20-02-2013,Albertslund,55.67223215319438,12.34145181244284,12865.9793814433,9.462341849408126,2013,POINT (710116.0005948622 6174663.003205975)
1968,,5,1750000.0,108.0,131.0,2620,29-06-2012,Albertslund,55.673230037080224,12.360867514091876,13358.778625954199,9.499929022698545,2012,POINT (711331.0006260739 6174833.003206347)
1968,,4,1795000.0,106.0,128.0,2620,12-04-2012,Albertslund,55.672744536369045,12.356927954948027,14023.4375,9.5484853159849,2012,POINT (711086.0006196483 6174767.003206324)
1969,,4,2495000.0,139.0,143.0,2620,21-03-2012,Albertslund,55.676429546917504,12.368779547500464,17447.552447552447,9.76695465690785,2012,POINT (711811.0006391318 6175213.003205977)
1968,,4,1780000.0,108.0,131.0,2620,08-12-2012,Albertslund,55.672984273785104,12.356709856535804,13587.786259541985,9.516926599067116,2012,POINT (711071.0006192953 6174793.00320627)
1968,,5,1795000.0,106.0,128.0,2620,04-10-2012,Albertslund,55.672728613935355,12.357181146264555,14023.4375,9.5484853159849,2012,POINT (711102.0006200596 6174766.003206334)
1987,,4,2895000.0,145.0,143.0,2620,30-06-2012,Albertslund,55.65912089409625,12.332620154397993,20244.755244755244,9.915651038729326,2012,POINT (709631.000580973 6173178.003208216)
2014,,3,2195000.0,119.0,119.0,2620,16-04-2013,Albertslund,55.67119781137677,12.355952198360526,18445.378151260506,9.82256911137988,2013,POINT (711033.0006180569 6174592.003206588)
2014,472.0,3,2295000.0,129.0,129.0,2620,16-04-2013,Albertslund,55.671184497497464,12.35611014878438,17790.697674418603,9.78643099711511,2013,POINT (711043.0006183131 6174591.003206593)
1973,,5,2695000.0,132.0,139.0,2620,24-10-2012,Albertslund,55.67658064988731,12.370479155471045,19388.489208633095,9.872434829194543,2012,POINT (711917.0006419588 6175235.003206003)
1972,,3,1895000.0,108.0,131.0,2620,17-09-2012,Albertslund,55.675646251834095,12.353071680575251,14465.648854961832,9.579532073297512,2012,POINT (710828.0006134198 6175078.003205662)
1968,,4,2095000.0,106.0,128.0,2620,29-09-2012,Albertslund,55.67216951288882,12.358883268562861,16367.1875,9.703033847418759,2012,POINT (711212.0006228279 6174709.003206491)
1968,,4,1895000.0,106.0,129.0,2620,03-09-2012,Albertslund,55.67227896548111,12.356856229503267,14689.922480620155,9.59491699213699,2012,POINT (711084.0006195297 6174715.003206408)
1972,,4,1895000.0,108.0,131.0,2620,18-09-2012,Albertslund,55.67604265230053,12.351069005716038,14465.648854961832,9.579532073297512,2012,POINT (710700.0006101977 6175116.003205528)
1972,,1,269000.0,33.0,33.0,2620,12-02-2013,Albertslund,55.67249713688031,12.342285808846333,8151.515151515152,9.005959097117495,2013,POINT (710167.0005961809 6174695.003205949)
1971,,4,1195000.0,100.0,100.0,2620,10-10-2012,Albertslund,55.670722364747256,12.340766196345145,11950.0,9.388486557359657,2012,POINT (710081.0005937738 6174493.003206242)
1972,,5,1875000.0,108.0,131.0,2620,23-04-2013,Albertslund,55.67513972797689,12.351866827420347,14312.977099236641,9.568921894185497,2013,POINT (710755.0006114763 6175018.003205721)
1972,,4,1095000.0,97.0,97.0,2620,31-10-2012,Albertslund,55.670510180297754,12.342943507633825,11288.659793814433,9.331553942729355,2012,POINT (710219.000597212 6174476.003206344)
1968,,5,1995000.0,106.0,129.0,2620,06-02-2013,Albertslund,55.6730360715111,12.36007128312921,15465.116279069767,9.646342203944428,2013,POINT (711282.0006247711 6174809.003206359)
1968,,4,1985000.0,108.0,131.0,2620,13-02-2013,Albertslund,55.671994065956156,12.357738649461641,15152.67175572519,9.625932148902276,2013,POINT (711141.0006209626 6174686.00320649)
2008,385.0,2,1495000.0,78.0,78.0,2620,11-10-2013,Albertslund,55.670294142043545,12.356447484148626,19166.666666666668,9.860927938117332,2013,POINT (711069.0006188565 6174493.003206774)
1967,,4,1900000.0,106.0,129.0,2620,25-03-2013,Albertslund,55.67305243480675,12.359802218646905,14728.682170542636,9.597552039774996,2013,POINT (711265.0006243315 6174810.003206349)
1943,,4,1995000.0,100.0,100.0,2605,01-08-2012,Brøndby,55.65923973816771,12.408748510517487,19950.0,9.90098442231801,2012,POINT (714417.0007079137 6173424.003210506)
1960,,5,2565000.0,176.0,176.0,2605,05-10-2012,Brøndby,55.66022352508584,12.386551312064269,14573.863636363636,9.586985041548855,2012,POINT (713016.0006690524 6173465.003209595)
1939,,2,1095000.0,75.0,75.0,2600,29-06-2012,Glostrup,55.6670821388564,12.404467732648977,14600.0,9.588776807696428,2012,POINT (714105.0007003329 6174283.003208881)
1939,,2,945000.0,75.0,75.0,2600,23-09-2013,Glostrup,55.6670821388564,12.404467732648977,12600.0,9.441452092939569,2013,POINT (714105.0007003329 6174283.003208881)
1938,,2,899000.0,58.0,58.0,2600,09-06-2012,Glostrup,55.667201402255365,12.3920541404041,15500.0,9.648595302907339,2012,POINT (713324.0006785742 6174258.003208451)
1938,977.0,2,798000.0,58.0,58.0,2600,10-01-2013,Glostrup,55.667201402255365,12.3920541404041,13758.620689655172,9.529420865885527,2013,POINT (713324.0006785742 6174258.003208451)
1938,,2,798000.0,58.0,58.0,2600,02-04-2013,Glostrup,55.667201402255365,12.3920541404041,13758.620689655172,9.529420865885527,2013,POINT (713324.0006785742 6174258.003208451)
1938,,2,995000.0,58.0,58.0,2600,12-05-2012,Glostrup,55.667201402255365,12.3920541404041,17155.172413793105,9.75005500559431,2012,POINT (713324.0006785742 6174258.003208451)
1938,,2,895000.0,58.0,58.0,2600,18-04-2013,Glostrup,55.667201402255365,12.3920541404041,15431.034482758621,9.644135986710573,2013,POINT (713324.0006785742 6174258.003208451)
1952,640.0,6,2695000.0,157.0,189.0,2600,18-01-2012,Glostrup,55.67323288255169,12.396983670090325,14259.25925925926,9.565161747265591,2012,POINT (713601.0006871853 6174944.00320747)
